X,Y,Index_,event_unique_id,occurrencedate,reporteddate,premisetype,ucr_code,ucr_ext,offence,reportedyear,reportedmonth,reportedday,reporteddayofyear,reporteddayofweek,reportedhour,occurrenceyear,occurrencemonth,occurrenceday,occurrencedayofyear,occurrencedayofweek,occurrencehour,MCI,Division,Hood_ID,Neighbourhood,Lat,Long,ObjectId
-79.2324829,43.813159899999988,172219,GO-2017480106,2017-03-17T18:30:00.000Z,2017-03-17T19:16:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2017,March,17,76,Friday    ,19,2017,March,17,76,Friday    ,18,Auto Theft,D42,132,Malvern (132),43.8131599,-79.2324829,159459
-79.2324829,43.813159899999988,172220,GO-2017480106,2017-03-17T18:30:00.000Z,2017-03-17T19:16:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2017,March,17,76,Friday    ,19,2017,March,17,76,Friday    ,18,Auto Theft,D42,132,Malvern (132),43.8131599,-79.2324829,159460
-79.5886612,43.7123146,172221,GO-2017491077,2017-03-18T23:00:00.000Z,2017-03-19T17:10:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2017,March,19,78,Sunday    ,17,2017,March,18,77,Saturday  ,23,Auto Theft,D23,1,West Humber-Clairville (1),43.7123146,-79.5886612,159461
-79.4317169,43.6671829,171932,GO-20161126136,2016-06-24T09:30:00.000Z,2016-06-27T19:52:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2016,June,27,179,Monday    ,19,2016,June,24,176,Friday    ,9,Auto Theft,D14,93,Dovercourt-Wallace Emerson-Junction (93),43.6671829,-79.4317169,159462
-79.4202728,43.654911,172633,GO-2018328432,2018-02-20T15:00:00.000Z,2018-02-21T09:30:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2018,February,21,52,Wednesday ,9,2018,February,20,51,Tuesday   ,15,Auto Theft,D14,80,Palmerston-Little Italy (80),43.654911,-79.4202728,159463
-79.3313522,43.681713099999989,172433,GO-20171503970,2017-06-26T10:00:00.000Z,2017-08-20T08:09:00.000Z,Commercial,2135,210,Theft Of Motor Vehicle,2017,August,20,232,Sunday    ,8,2017,June,26,177,Monday    ,10,Auto Theft,D55,66,Danforth (66),43.6817131,-79.3313522,159464
-79.4108582,43.7334747,172531,GO-2018504168,2018-03-19T18:00:00.000Z,2018-03-20T08:28:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2018,March,20,79,Tuesday   ,8,2018,March,19,78,Monday    ,18,Auto Theft,D32,105,Lawrence Park North (105),43.7334747,-79.4108582,159465
-79.2384949,43.8103981,172332,GO-2017640642,2017-03-24T09:30:00.000Z,2017-03-29T12:13:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2017,March,29,88,Wednesday ,12,2017,March,24,83,Friday    ,9,Auto Theft,D42,132,Malvern (132),43.8103981,-79.2384949,159466
-79.60099790000001,43.7346344,172634,GO-2018337347,2018-02-01T00:01:00.000Z,2018-02-22T15:11:00.000Z,Commercial,2135,210,Theft Of Motor Vehicle,2018,February,22,53,Thursday  ,15,2018,February,1,32,Thursday  ,0,Auto Theft,D23,1,West Humber-Clairville (1),43.7346344,-79.6009979,159467
-79.478805500000021,43.6410065,171933,GO-20161102432,2016-06-23T16:00:00.000Z,2016-06-24T08:38:00.000Z,House,2135,210,Theft Of Motor Vehicle,2016,June,24,176,Friday    ,8,2016,June,23,175,Thursday  ,16,Auto Theft,D11,87,High Park-Swansea (87),43.6410065,-79.4788055,159468
-79.4802399,43.7310791,171934,GO-20161134987,2016-06-29T00:30:00.000Z,2016-06-29T06:46:00.000Z,House,2135,210,Theft Of Motor Vehicle,2016,June,29,181,Wednesday ,6,2016,June,29,181,Wednesday ,0,Auto Theft,D31,26,Downsview-Roding-CFB (26),43.7310791,-79.4802399,159469
-79.297287,43.7022209,172732,GO-20151170661,2015-07-11T02:26:00.000Z,2015-07-11T02:26:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2015,July,11,192,Saturday  ,2,2015,July,11,192,Saturday  ,2,Auto Theft,D54,54,O'Connor-Parkview (54),43.7022209,-79.297287,159470
-79.5595551,43.624073,172635,GO-2016676364,2016-04-20T18:15:00.000Z,2016-04-20T20:01:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2016,April,20,111,Wednesday ,20,2016,April,20,111,Wednesday ,18,Auto Theft,D22,14,Islington-City Centre West (14),43.624073,-79.5595551,159471
-79.5086365,43.720916699999982,171935,GO-2016125605,2016-01-21T17:00:00.000Z,2016-01-21T18:23:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2016,January,21,21,Thursday  ,18,2016,January,21,21,Thursday  ,17,Auto Theft,D31,26,Downsview-Roding-CFB (26),43.7209167,-79.5086365,159472
-79.4962997,43.6791382,172532,GO-2018533922,2016-07-31T09:00:00.000Z,2018-03-24T15:51:00.000Z,Apartment,2135,210,Theft Of Motor Vehicle,2018,March,24,83,Saturday  ,15,2016,July,31,213,Sunday    ,9,Auto Theft,D12,111,Rockcliffe-Smythe (111),43.6791382,-79.4962997,159473
-79.6113205,43.710689499999987,172733,GO-2015165041,2015-01-28T18:00:00.000Z,2015-01-28T18:36:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2015,January,28,28,Wednesday ,18,2015,January,28,28,Wednesday ,18,Auto Theft,D23,1,West Humber-Clairville (1),43.7106895,-79.6113205,159474
-79.5416107,43.7482376,172333,GO-2017548820,2017-03-27T12:00:00.000Z,2017-03-28T16:29:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2017,March,28,87,Tuesday   ,16,2017,March,27,86,Monday    ,12,Auto Theft,D31,22,Humbermede (22),43.7482376,-79.5416107,159475
-79.5130539,43.6778107,172636,GO-2018322238,2018-02-20T11:15:00.000Z,2018-02-20T11:42:00.000Z,House,2135,210,Theft Of Motor Vehicle,2018,February,20,51,Tuesday   ,11,2018,February,20,51,Tuesday   ,11,Auto Theft,D22,9,Edenbridge-Humber Valley (9),43.6778107,-79.5130539,159476
-79.5642929,43.6936684,171936,GO-20161138226,2016-06-09T00:01:00.000Z,2016-06-29T16:05:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2016,June,29,181,Wednesday ,16,2016,June,9,161,Thursday  ,0,Auto Theft,D23,6,Kingsview Village-The Westway (6),43.6936684,-79.5642929,159477
-79.3313522,43.681713099999989,172434,GO-20171503970,2017-06-26T10:00:00.000Z,2017-08-20T08:09:00.000Z,Commercial,2135,210,Theft Of Motor Vehicle,2017,August,20,232,Sunday    ,8,2017,June,26,177,Monday    ,10,Auto Theft,D55,66,Danforth (66),43.6817131,-79.3313522,159478
-79.5868225,43.6879501,172533,GO-2018529353,2018-03-15T21:00:00.000Z,2018-03-23T20:41:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2018,March,23,82,Friday    ,20,2018,March,15,74,Thursday  ,21,Auto Theft,D23,1,West Humber-Clairville (1),43.6879501,-79.5868225,159479
-79.247222899999983,43.7108192,172734,GO-20151172861,2015-07-10T17:30:00.000Z,2015-07-11T12:18:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2015,July,11,192,Saturday  ,12,2015,July,10,191,Friday    ,17,Auto Theft,D41,123,Cliffcrest (123),43.7108192,-79.2472229,159480
-79.1877823,43.7727051,172334,GO-2017601457,2017-04-04T20:00:00.000Z,2017-04-05T17:15:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2017,April,5,95,Wednesday ,17,2017,April,4,94,Tuesday   ,20,Auto Theft,D43,136,West Hill (136),43.7727051,-79.1877823,159481
-79.5892334,43.7410965,172637,GO-2018347366,2018-02-24T01:06:00.000Z,2018-02-24T01:06:00.000Z,Commercial,2135,210,Theft Of Motor Vehicle,2018,February,24,55,Saturday  ,1,2018,February,24,55,Saturday  ,1,Auto Theft,D23,2,Mount Olive-Silverstone-Jamestown (2),43.7410965,-79.5892334,159482
-79.5042496,43.7044754,171937,GO-20161156363,2016-07-01T22:00:00.000Z,2016-07-02T14:05:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2016,July,2,184,Saturday  ,14,2016,July,1,183,Friday    ,22,Auto Theft,D12,28,Rustic (28),43.7044754,-79.5042496,159483
-79.40538020000001,43.7115593,172435,GO-201888889,2018-01-14T20:00:00.000Z,2018-01-15T10:07:00.000Z,Other,2135,210,Theft Of Motor Vehicle,2018,January,15,15,Monday    ,10,2018,January,14,14,Sunday    ,20,Auto Theft,D53,100,Yonge-Eglinton (100),43.7115593,-79.4053802,159484
-79.4246445,43.6622009,172436,GO-2018130043,2018-01-19T18:00:00.000Z,2018-01-21T15:51:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2018,January,21,21,Sunday    ,15,2018,January,19,19,Friday    ,18,Auto Theft,D14,93,Dovercourt-Wallace Emerson-Junction (93),43.6622009,-79.4246445,159485
-79.2934723,43.705562599999986,172437,GO-2018115806,2018-01-18T21:00:00.000Z,2018-01-19T11:32:00.000Z,House,2135,210,Theft Of Motor Vehicle,2018,January,19,19,Friday    ,11,2018,January,18,18,Thursday  ,21,Auto Theft,D41,120,Clairlea-Birchmount (120),43.7055626,-79.2934723,159486
-79.2934723,43.705562599999986,172438,GO-2018115806,2018-01-18T21:00:00.000Z,2018-01-19T11:32:00.000Z,House,2135,210,Theft Of Motor Vehicle,2018,January,19,19,Friday    ,11,2018,January,18,18,Thursday  ,21,Auto Theft,D41,120,Clairlea-Birchmount (120),43.7055626,-79.2934723,159487
-79.5955658,43.6867599,172439,GO-2018126522,2018-01-20T22:00:00.000Z,2018-01-21T00:11:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2018,January,21,21,Sunday    ,0,2018,January,20,20,Saturday  ,22,Auto Theft,D23,1,West Humber-Clairville (1),43.6867599,-79.5955658,159488
-79.3609772,43.6619225,172440,GO-20173046327,2017-11-19T17:00:00.000Z,2017-11-22T10:47:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2017,November,22,326,Wednesday ,10,2017,November,19,323,Sunday    ,17,Auto Theft,D51,72,Regent Park (72),43.6619225,-79.3609772,159489
-79.5486755,43.7013283,172441,GO-2018141937,2018-01-22T10:00:00.000Z,2018-01-23T11:41:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2018,January,23,23,Tuesday   ,11,2018,January,22,22,Monday    ,10,Auto Theft,D23,6,Kingsview Village-The Westway (6),43.7013283,-79.5486755,159490
-79.4165955,43.6949501,172442,GO-2018135552,2018-01-21T22:00:00.000Z,2018-01-22T13:26:00.000Z,Other,2135,210,Theft Of Motor Vehicle,2018,January,22,22,Monday    ,13,2018,January,21,21,Sunday    ,22,Auto Theft,D13,101,Forest Hill South (101),43.6949501,-79.4165955,159491
-79.5226059,43.6876144,172443,GO-2018148667,2018-01-24T02:00:00.000Z,2018-01-24T11:21:00.000Z,House,2135,210,Theft Of Motor Vehicle,2018,January,24,24,Wednesday ,11,2018,January,24,24,Wednesday ,2,Auto Theft,D23,8,Humber Heights-Westmount (8),43.6876144,-79.5226059,159492
